"Plot Title: hobo25"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10647214, SEN S/N: 10647214)","Coupler Attached (LGR S/N: 10647214)","Coupler Detached (LGR S/N: 10647214)","Host Connected (LGR S/N: 10647214)","Stopped (LGR S/N: 10647214)","End Of File (LGR S/N: 10647214)"
1,12/06/18 05:00:00 PM,4.623,,,,,
2,12/06/18 05:10:00 PM,4.623,,,,,
3,12/06/18 05:20:00 PM,4.727,,,,,
4,12/06/18 05:30:00 PM,4.623,,,,,
5,12/06/18 05:40:00 PM,4.623,,,,,
6,12/06/18 05:50:00 PM,4.623,,,,,
7,12/06/18 06:00:00 PM,4.623,,,,,
8,12/06/18 06:10:00 PM,4.623,,,,,
9,12/06/18 06:20:00 PM,4.623,,,,,
10,12/06/18 06:30:00 PM,4.623,,,,,
11,12/06/18 06:40:00 PM,4.727,,,,,
12,12/06/18 06:50:00 PM,4.623,,,,,
13,12/06/18 07:00:00 PM,4.727,,,,,
14,12/06/18 07:10:00 PM,4.727,,,,,
15,12/06/18 07:20:00 PM,4.727,,,,,
16,12/06/18 07:30:00 PM,4.623,,,,,
17,12/06/18 07:40:00 PM,4.623,,,,,
18,12/06/18 07:50:00 PM,4.623,,,,,
19,12/06/18 08:00:00 PM,4.623,,,,,
20,12/06/18 08:10:00 PM,4.623,,,,,
21,12/06/18 08:20:00 PM,4.623,,,,,
22,12/06/18 08:30:00 PM,4.623,,,,,
23,12/06/18 08:40:00 PM,4.623,,,,,
24,12/06/18 08:50:00 PM,4.623,,,,,
25,12/06/18 09:00:00 PM,4.623,,,,,
26,12/06/18 09:10:00 PM,4.623,,,,,
27,12/06/18 09:20:00 PM,4.623,,,,,
28,12/06/18 09:30:00 PM,4.623,,,,,
29,12/06/18 09:40:00 PM,4.623,,,,,
30,12/06/18 09:50:00 PM,4.623,,,,,
31,12/06/18 10:00:00 PM,4.623,,,,,
32,12/06/18 10:10:00 PM,4.623,,,,,
33,12/06/18 10:20:00 PM,4.623,,,,,
34,12/06/18 10:30:00 PM,4.623,,,,,
35,12/06/18 10:40:00 PM,4.623,,,,,
36,12/06/18 10:50:00 PM,4.519,,,,,
37,12/06/18 11:00:00 PM,4.519,,,,,
38,12/06/18 11:10:00 PM,4.519,,,,,
39,12/06/18 11:20:00 PM,4.519,,,,,
40,12/06/18 11:30:00 PM,4.519,,,,,
41,12/06/18 11:40:00 PM,4.623,,,,,
42,12/06/18 11:50:00 PM,4.519,,,,,
43,12/07/18 12:00:00 AM,4.519,,,,,
44,12/07/18 12:10:00 AM,4.519,,,,,
45,12/07/18 12:20:00 AM,4.519,,,,,
46,12/07/18 12:30:00 AM,4.519,,,,,
47,12/07/18 12:40:00 AM,4.519,,,,,
48,12/07/18 12:50:00 AM,4.519,,,,,
49,12/07/18 01:00:00 AM,4.519,,,,,
50,12/07/18 01:10:00 AM,4.519,,,,,
51,12/07/18 01:20:00 AM,4.519,,,,,
52,12/07/18 01:30:00 AM,4.519,,,,,
53,12/07/18 01:40:00 AM,4.519,,,,,
54,12/07/18 01:50:00 AM,4.519,,,,,
55,12/07/18 02:00:00 AM,4.519,,,,,
56,12/07/18 02:10:00 AM,4.519,,,,,
57,12/07/18 02:20:00 AM,4.519,,,,,
58,12/07/18 02:30:00 AM,4.519,,,,,
59,12/07/18 02:40:00 AM,4.519,,,,,
60,12/07/18 02:50:00 AM,4.519,,,,,
61,12/07/18 03:00:00 AM,4.519,,,,,
62,12/07/18 03:10:00 AM,4.519,,,,,
63,12/07/18 03:20:00 AM,4.519,,,,,
64,12/07/18 03:30:00 AM,4.519,,,,,
65,12/07/18 03:40:00 AM,4.519,,,,,
66,12/07/18 03:50:00 AM,4.519,,,,,
67,12/07/18 04:00:00 AM,4.519,,,,,
68,12/07/18 04:10:00 AM,4.519,,,,,
69,12/07/18 04:20:00 AM,4.415,,,,,
70,12/07/18 04:30:00 AM,4.519,,,,,
71,12/07/18 04:40:00 AM,4.415,,,,,
